LOCATION,Country,Type of indicator,Net childcares cost by item,SATOPUPS,Include social assistance benefits,Year,Value,No children 0-14,Employment ,Part-time,Full-time
AUS,Australia,Percentage of average wage,Gross childcare fees,1,Yes,2004,43,,57.2,34.3,22.9
AUS,Australia,Percentage of average wage,Gross childcare fees,1,Yes,2008,45,,62.8,37.3,25.5
AUS,Australia,Percentage of average wage,Gross childcare fees,1,Yes,2012,48,,62.4,36.7,25.7
AUS,Australia,Percentage of average wage,Gross childcare fees,1,Yes,2015,52,,63.9,36.4,27.4
AUS,Australia,Percentage of average wage,Gross childcare fees,1,Yes,2018,56,,68.1,37.5,30.6
AUS,Australia,Percentage of average wage,Gross childcare fees,1,Yes,2019,55,,68.8,37,31.8
BEL,Belgium,Percentage of average wage,Gross childcare fees,1,Yes,2004,20,47.2,68.1,24.5,40.1
BEL,Belgium,Percentage of average wage,Gross childcare fees,1,Yes,2008,18,50.8,72.2,25.4,44.7
BEL,Belgium,Percentage of average wage,Gross childcare fees,1,Yes,2012,18,51.9,72.3,24.2,47.1
BEL,Belgium,Percentage of average wage,Gross childcare fees,1,Yes,2015,18,54,71.5,22.1,49
BEL,Belgium,Percentage of average wage,Gross childcare fees,1,Yes,2018,19,56.7,74.4,21.8,52.1
BEL,Belgium,Percentage of average wage,Gross childcare fees,1,Yes,2019,19,58.2,73.5,21.6,51.6
CZE,Czech Republic,Percentage of average wage,Gross childcare fees,1,Yes,2004,10,55.1,58.4,3.4,54.9
CZE,Czech Republic,Percentage of average wage,Gross childcare fees,1,Yes,2008,11,57.6,57.6,4.1,53.5
CZE,Czech Republic,Percentage of average wage,Gross childcare fees,1,Yes,2012,32,57.7,59.2,4.6,54.6
CZE,Czech Republic,Percentage of average wage,Gross childcare fees,1,Yes,2015,13,62.7,61.7,4.9,56.7
CZE,Czech Republic,Percentage of average wage,Gross childcare fees,1,Yes,2018,11,67.4,67.4,6.9,60.4
CZE,Czech Republic,Percentage of average wage,Gross childcare fees,1,Yes,2019,10,68.5,67,6.1,60.8
FRA,France,Percentage of average wage,Gross childcare fees,1,Yes,2004,25,,,,
FRA,France,Percentage of average wage,Gross childcare fees,1,Yes,2008,22,54.5,72.6,17.7,54.2
FRA,France,Percentage of average wage,Gross childcare fees,1,Yes,2012,20,54.3,71.6,16.7,54.4
FRA,France,Percentage of average wage,Gross childcare fees,1,Yes,2015,20,55.6,70.4,15.6,53.8
FRA,France,Percentage of average wage,Gross childcare fees,1,Yes,2018,19,57.4,72.6,14.5,57.1
FRA,France,Percentage of average wage,Gross childcare fees,1,Yes,2019,19,57.8,73,14.7,57.2
DEU,Germany,Percentage of average wage,Gross childcare fees,1,Yes,2015,10,69.7,70.4,38.6,31.8
DEU,Germany,Percentage of average wage,Gross childcare fees,1,Yes,2018,10,71.9,72,37.6,34.5
DEU,Germany,Percentage of average wage,Gross childcare fees,1,Yes,2019,1,72.8,73.2,37.5,35.7
GRC,Greece,Percentage of average wage,Gross childcare fees,1,Yes,2004,7,41.9,55.1,6.6,48.5
GRC,Greece,Percentage of average wage,Gross childcare fees,1,Yes,2008,6,45.4,57.5,9.5,48
GRC,Greece,Percentage of average wage,Gross childcare fees,1,Yes,2012,7,37.8,52.9,8.8,44.1
GRC,Greece,Percentage of average wage,Gross childcare fees,1,Yes,2015,8,38.9,54,8.6,45.3
GRC,Greece,Percentage of average wage,Gross childcare fees,1,Yes,2018,8,41.1,57.4,9.4,48
GRC,Greece,Percentage of average wage,Gross childcare fees,1,Yes,2019,44,42.8,59.9,9.3,50.5
HUN,Hungary,Percentage of average wage,Gross childcare fees,1,Yes,2004,8,49,54.2,3.4,50.7
HUN,Hungary,Percentage of average wage,Gross childcare fees,1,Yes,2008,6,49.2,53.6,3,50.4
HUN,Hungary,Percentage of average wage,Gross childcare fees,1,Yes,2012,5,51.3,53.5,4.6,48.8
HUN,Hungary,Percentage of average wage,Gross childcare fees,1,Yes,2015,7,57.3,59.2,3.9,53.6
HUN,Hungary,Percentage of average wage,Gross childcare fees,1,Yes,2018,19,62.6,61.7,3.4,56.2
HUN,Hungary,Percentage of average wage,Gross childcare fees,1,Yes,2019,16,62.8,63.4,3.4,58
IRL,Ireland,Percentage of average wage,Gross childcare fees,1,Yes,2004,41,,,,
IRL,Ireland,Percentage of average wage,Gross childcare fees,1,Yes,2008,36,63.2,60.4,29.5,30.3
IRL,Ireland,Percentage of average wage,Gross childcare fees,1,Yes,2012,41,56,56.5,24.9,31
IRL,Ireland,Percentage of average wage,Gross childcare fees,1,Yes,2015,40,57.5,62.5,25.1,36.9
IRL,Ireland,Percentage of average wage,Gross childcare fees,1,Yes,2018,39,60.8,67.7,25.1,41.9
IRL,Ireland,Percentage of average wage,Gross childcare fees,1,Yes,2019,39,61.9,68.4,24.9,42.7
NLD,Netherlands,Percentage of average wage,Gross childcare fees,1,Yes,2004,4,63.4,70.8,55.5,15.3
NLD,Netherlands,Percentage of average wage,Gross childcare fees,1,Yes,2008,56,67.4,77.6,57,20.6
NLD,Netherlands,Percentage of average wage,Gross childcare fees,1,Yes,2012,57,66.3,77,54.6,22.4
NLD,Netherlands,Percentage of average wage,Gross childcare fees,1,Yes,2015,58,66.4,76.3,51.7,24.6
NLD,Netherlands,Percentage of average wage,Gross childcare fees,1,Yes,2018,60,70.8,77.9,49.7,28.2
NLD,Netherlands,Percentage of average wage,Gross childcare fees,1,Yes,2019,63,71.7,80.1,50,30.1
NZL,New Zealand,Percentage of average wage,Gross childcare fees,1,Yes,2004,42,68.9,58.8,28.3,30.5
NZL,New Zealand,Percentage of average wage,Gross childcare fees,1,Yes,2008,55,72.3,63.4,28.3,35.1
NZL,New Zealand,Percentage of average wage,Gross childcare fees,1,Yes,2012,53,72.2,61.5,27.6,33.9
NZL,New Zealand,Percentage of average wage,Gross childcare fees,1,Yes,2015,52,72.4,65.3,27.5,37.8
NZL,New Zealand,Percentage of average wage,Gross childcare fees,1,Yes,2018,51,74.5,71.6,25.7,25.2
POL,Poland,Percentage of average wage,Gross childcare fees,1,Yes,2004,30,,,,
POL,Poland,Percentage of average wage,Gross childcare fees,1,Yes,2008,32,46.3,66.5,9,57.5
POL,Poland,Percentage of average wage,Gross childcare fees,1,Yes,2012,31,47.6,66,7.6,58.3
POL,Poland,Percentage of average wage,Gross childcare fees,1,Yes,2015,25,50.9,69.1,6.3,62.8
POL,Poland,Percentage of average wage,Gross childcare fees,1,Yes,2018,19,56.1,70.1,6.3,63.8
POL,Poland,Percentage of average wage,Gross childcare fees,1,Yes,2019,19,56.3,70.3,6,64.3
PRT,Portugal,Percentage of average wage,Gross childcare fees,1,Yes,2004,26,55.1,76,6.9,68.5
PRT,Portugal,Percentage of average wage,Gross childcare fees,1,Yes,2008,26,56.2,76.3,6.7,69
PRT,Portugal,Percentage of average wage,Gross childcare fees,1,Yes,2012,26,51.8,73.7,6.4,66
PRT,Portugal,Percentage of average wage,Gross childcare fees,1,Yes,2015,26,53.7,78.6,6,70.5
PRT,Portugal,Percentage of average wage,Gross childcare fees,1,Yes,2018,24,60.2,83.4,5.4,75.6
PRT,Portugal,Percentage of average wage,Gross childcare fees,1,Yes,2019,24,61.1,83.8,5.7,75.7
SVK,Slovak Republic,Percentage of average wage,Gross childcare fees,1,Yes,2004,11,47.1,58.8,1.9,54.8
SVK,Slovak Republic,Percentage of average wage,Gross childcare fees,1,Yes,2008,9,52.5,60,2.5,56
SVK,Slovak Republic,Percentage of average wage,Gross childcare fees,1,Yes,2012,8,51.6,55.8,3,51.1
SVK,Slovak Republic,Percentage of average wage,Gross childcare fees,1,Yes,2015,9,55.7,56.6,4.9,49.8
SVK,Slovak Republic,Percentage of average wage,Gross childcare fees,1,Yes,2018,9,61.3,60.8,4.7,53.7
SVK,Slovak Republic,Percentage of average wage,Gross childcare fees,1,Yes,2019,11,62.5,61.8,5,54.7
ESP,Spain,Percentage of average wage,Gross childcare fees,1,Yes,2004,30,46.9,52.6,10.8,41.8
ESP,Spain,Percentage of average wage,Gross childcare fees,1,Yes,2008,25,53.1,60.8,15.6,44.2
ESP,Spain,Percentage of average wage,Gross childcare fees,1,Yes,2012,24,48,58.3,14.7,42.2
ESP,Spain,Percentage of average wage,Gross childcare fees,1,Yes,2015,19,48.8,61.8,15.2,45.1
ESP,Spain,Percentage of average wage,Gross childcare fees,1,Yes,2018,19,52.8,66.5,15.2,49.7
ESP,Spain,Percentage of average wage,Gross childcare fees,1,Yes,2019,9,53.8,67.5,15.4,50.1
GBR,United Kingdom,Percentage of average wage,Gross childcare fees,1,Yes,2004,37,66.2,63.6,35.9,27.2
GBR,United Kingdom,Percentage of average wage,Gross childcare fees,1,Yes,2008,37,65.7,65.1,33.3,31.2
GBR,United Kingdom,Percentage of average wage,Gross childcare fees,1,Yes,2012,42,64.1,65.5,34,30.9
GBR,United Kingdom,Percentage of average wage,Gross childcare fees,1,Yes,2015,51,67,68.9,33.6,34.5
GBR,United Kingdom,Percentage of average wage,Gross childcare fees,1,Yes,2018,49,68.6,73.2,34.5,38
GBR,United Kingdom,Percentage of average wage,Gross childcare fees,1,Yes,2019,49,69.3,74.2,33.7,39.7
USA,United States,Percentage of average wage,Gross childcare fees,1,Yes,2004,16,62.9,66.6,13.4,52.8
USA,United States,Percentage of average wage,Gross childcare fees,1,Yes,2008,14,62.7,67.7,12.8,54.5
USA,United States,Percentage of average wage,Gross childcare fees,1,Yes,2012,16,58.7,65,13.3,51.4
